Metric,Value
Period,"Before Oct 27, 2025 (426 reviews)"
Total Reviews,426
Average Rating,3.59
Positive Sentiment,0 (0.0%)
Negative Sentiment,0 (0.0%)
Neutral Sentiment,0 (0.0%)
,
Complaint Themes,Count
Ads,60 (14.1%)
Energy System,37 (8.7%)
Monetization,18 (4.2%)
Ai Content,13 (3.1%)
Removed Features,5 (1.2%)
Technical,2 (0.5%)
Billing,0 (0.0%)
Other,0 (0.0%)
,
User Personas,Count
Free Learner,313 (73.5%)
Paid Power User,88 (20.7%)
Casual Learner,8 (1.9%)
Serious Learner,8 (1.9%)
Streak Keeper,5 (1.2%)
Family User,4 (0.9%)
,
Feature Requests,Count
Speaking Practice,17 (4.0%)
Streaming Access,7 (1.6%)
Grammar Explanations,5 (1.2%)
Advanced Lessons,5 (1.2%)
Offline Mode,3 (0.7%)
Human Voices,1 (0.2%)
Dark Mode,0 (0.0%)
Web Version,0 (0.0%)
